time_both,time_semester,time_year,Year,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Exercise,Greek,TV,GPA,Award,Pulse,Pierces,Sex,Sport,Tattoo,Facebook
S06,S,06,1,72,195,Occasionally,r,3,3,18,No,5,3.2,Olympic,48,0,M,NA,NA,NA
S06,S,06,1,72,175,No,r,2,3,12,Planning,7,2.5,Olympic,75,0,M,NA,NA,NA
S06,S,06,1,71,188,No,r,4,2,14,No,20,3.25,Olympic,59,0,M,NA,NA,NA
S06,S,06,2,63,115,No,NA,2,2,6,No,12,3.4,Nobel,73,3,F,NA,NA,NA
S06,S,06,1,68,150,No,r,1,1,7,Planning,7,3.2,Olympic,63,2,F,NA,NA,NA
S06,S,06,1,70,168,No,l,1,1,14,No,1,2.9,Olympic,57,0,M,NA,NA,NA
S06,S,06,1,63,125,No,l,1,1,3,No,2,3.17,Olympic,73,7,F,NA,NA,NA
S06,S,06,1,66,115,No,r,2,2,8,No,8,2.5,Olympic,68,0,F,NA,NA,NA
S06,S,06,1,74,190,No,r,2,3,10,No,2,2.5,Nobel,63,0,M,NA,NA,NA
S06,S,06,1,63,126,No,r,1,2,7,No,14,3.21,Nobel,69,2,F,NA,NA,NA
S06,S,06,1,65,175,No,r,1,1,14,No,5,3.4,Olympic,61,0,M,NA,NA,NA
S06,S,06,1,62,175,No,r,1,2,3,No,2,3,Nobel,74,5,F,NA,NA,NA
S06,S,06,1,71,200,No,r,0,1,6,No,5,3.25,Olympic,NA,0,M,NA,NA,NA
S06,S,06,1,71,160,No,r,1,1,15,No,3,3,Olympic,64,0,M,NA,NA,NA
S06,S,06,1,67,125,No,r,1,1,10,Planning,6,3,Academy,68,5,F,NA,NA,NA
S06,S,06,1,70,167,No,r,1,2,12,NA,1,2,Olympic,78,0,M,NA,NA,NA
S06,S,06,1,72,165,No,r,2,2,15,No,6,3.6,Olympic,90,3,F,NA,NA,NA
S06,S,06,1,65,175,No,r,1,1,14,No,5,3.4,Olympic,61,0,M,NA,NA,NA
S06,S,06,1,84,135,No,r,0,1,4,No,0,3.3,Nobel,60,2,F,NA,NA,NA
S06,S,06,1,69,190,No,l,1,1,20,No,1,2.5,Olympic,61,0,M,NA,NA,NA
S06,S,06,1,72,195,No,r,2,3,12,No,3,2.7,Olympic,65,0,M,NA,NA,NA
S06,S,06,4,70,170,No,r,2,1,7,No,2,3.3,Olympic,67,4,F,NA,NA,NA
S06,S,06,3,72,170,No,l,1,1,5,Yes,2,3.5,Nobel,60,0,M,NA,NA,NA
S06,S,06,1,54,123,No,r,2,2,10,No,1,2.9,Olympic,32,2,F,NA,NA,NA
S06,S,06,1,68,134,No,r,3,3,10,Planning,4,3.4,Olympic,51,2,F,NA,NA,NA
S06,S,06,1,74,130,No,r,1,1,6,No,3,3.2,Nobel,52,5,F,NA,NA,NA
S06,S,06,1,74,130,No,r,1,1,6,No,3,3.2,Nobel,62,5,F,NA,NA,NA
S06,S,06,1,72,228,No,r,2,2,4,No,2,3.12,Academy,96,0,M,NA,NA,NA
S06,S,06,3,70,160,No,r,1,1,1,No,9,3.5,Nobel,102,0,M,NA,NA,NA
S06,S,06,2,73,180,No,r,3,1,15,No,7,2.97,Olympic,57,0,M,NA,NA,NA
S06,S,06,3,67,123,No,r,1,2,12,Yes,12,3.2,Olympic,82,5,F,NA,NA,NA
S06,S,06,4,62,128,No,r,0,1,5,No,1,3.46,Academy,61,5,F,NA,NA,NA
S06,S,06,2,67,145,No,r,1,1,7,No,2,2.4,Olympic,42,0,M,NA,NA,NA
S06,S,06,1,55,125,No,l,2,1,8,No,3,2.87,Olympic,52,10,F,NA,NA,NA
S06,S,06,1,74,165,No,r,2,1,5,No,20,NA,Nobel,70,0,M,NA,NA,NA
S06,S,06,3,68,185,No,r,0,1,5,No,5,3,Nobel,53,0,M,NA,NA,NA
S06,S,06,1,65,145,No,r,1,2,18,No,3,3.34,Olympic,61,0,F,NA,NA,NA
S06,S,06,1,74,205,No,l,0,1,18,No,3,3.25,Olympic,62,0,M,NA,NA,NA
S06,S,06,1,68,155,No,l,2,2,2,No,1,3.7,Nobel,80,0,M,NA,NA,NA
