"","tourney_name","surface","player","seed","ace","df","svperc","firstwon","secondwon","tour","result"
"1","Guadalajara","Hard","Veronika Kudermetova",NA,5,6,59.1836734693878,82.7586206896552,50,"WTA","win"
"2","Guadalajara","Hard","Veronika Kudermetova",NA,2,0,61.2244897959184,66.6666666666667,68.4210526315789,"WTA","win"
"3","Guadalajara","Hard","Veronika Kudermetova",NA,4,6,47.3118279569892,70.4545454545455,63.265306122449,"WTA","win"
"4","Guadalajara","Hard","Veronika Kudermetova",NA,4,4,51.3513513513514,57.8947368421053,55.5555555555556,"WTA","win"
"5","Guadalajara","Hard","Veronika Kudermetova",NA,12,6,58.5106382978723,76.3636363636364,51.2820512820513,"WTA","win"
"6","Anning","Clay","Saisai Zheng","2",1,3,75,52.3809523809524,50,"WTA","win"
"7","Anning","Clay","Saisai Zheng","2",0,2,81.0126582278481,65.625,40,"WTA","win"
"8","Anning","Clay","Saisai Zheng","2",3,0,72.5806451612903,60,52.9411764705882,"WTA","win"
"9","Anning","Clay","Saisai Zheng","2",1,2,72.0930232558139,61.2903225806452,50,"WTA","win"
"10","Anning","Clay","Saisai Zheng","2",1,3,70.8333333333333,62.7450980392157,47.6190476190476,"WTA","win"
"11","Fed Cup G1 RR: KAZ vs IND","Hard","Yulia Putintseva",NA,1,1,66.1971830985916,68.0851063829787,54.1666666666667,"WTA","win"
"12","Fed Cup G1 RR: KAZ vs THA","Hard","Yulia Putintseva",NA,1,2,70.5882352941177,61.1111111111111,60,"WTA","win"
"13","Fed Cup G1 RR: CHN vs INA","Hard","Saisai Zheng",NA,1,1,69.6969696969697,65.2173913043478,55,"WTA","win"
"14","Fed Cup G1 RR: CHN vs KOR","Hard","Saisai Zheng",NA,0,2,67.9487179487179,66.0377358490566,56,"WTA","win"
"15","Fed Cup G1 RR: UKR vs SWE","Hard","Dayana Yastremska",NA,0,5,69.6428571428571,64.1025641025641,52.9411764705882,"WTA","win"
"16","Fed Cup G1 PM: POL vs UKR","Hard","Dayana Yastremska",NA,9,6,60,71.1111111111111,50,"WTA","win"
"17","Fed Cup G1 RR: GBR vs GRE","Hard","Johanna Konta",NA,3,2,63.963963963964,61.9718309859155,52.5,"WTA","win"
"18","Fed Cup G1 RR: GBR vs HUN","Hard","Johanna Konta",NA,4,3,77.3913043478261,73.0337078651685,42.3076923076923,"WTA","win"
"19","Fed Cup G1 RR: GBR vs SLO","Hard","Johanna Konta",NA,3,4,74.3243243243243,61.8181818181818,26.3157894736842,"WTA","win"
"20","Fed Cup G1 RR: GRE vs SLO","Hard","Maria Sakkari",NA,5,9,63.3333333333333,73.6842105263158,45.4545454545455,"WTA","win"
"21","Fed Cup G1 RR: HUN vs GRE","Hard","Maria Sakkari",NA,2,6,53.8461538461538,71.4285714285714,56.6666666666667,"WTA","win"
"22","Fed Cup G1 RR: CRO vs TUR","Hard","Donna Vekic",NA,2,6,50,71.4285714285714,67.8571428571429,"WTA","win"
